start latitude,start longitude,UTC,end latitude,end longitude,azimuth,teslas,bearing,distance,fix,closest,accuracy correction status,unique id,primary id,secondary id,
35.7774646,-78.6786746,10316,35.7774762,-78.6787008,54.28151825,41.46703011,298.6226698,2.692601046,invalid,1,0,13RPN00010,1,10,
35.7774646,-78.6786746,10317,35.7774762,-78.6787008,54.28151825,41.46703011,298.6226698,2.692601046,invalid,1,0,13RPN00010,1,10,
35.7774646,-78.6786746,10318,35.7774762,-78.6787008,54.28151825,41.46703011,298.6226698,2.692601046,invalid,1,0,13RPN00010,1,10,
35.7774646,-78.6786746,10319,35.7774762,-78.6787008,54.28151825,41.46703011,298.6226698,2.692601046,invalid,1,0,13RPN00010,1,10,
35.7774646,-78.6786746,10320,35.7774762,-78.6787008,54.28151825,41.46703011,298.6226698,2.692601046,invalid,1,0,13RPN00010,1,10,
35.7774646,-78.6786743,10321,35.7774667,-78.6786909,51.00513797,42.52137303,278.9691693,1.497787172,invalid,1,0,13RPN00011,1,11,
35.7774646,-78.6786743,10322,35.7774667,-78.6786909,51.00513797,42.52137303,278.9691693,1.497787172,invalid,1,0,13RPN00011,1,11,10348
35.7774646,-78.6786743,10323,35.7774667,-78.6786909,51.00513797,42.52137303,278.9691693,1.497787172,invalid,1,0,13RPN00011,1,11,
35.7774646,-78.6786743,10324,35.7774667,-78.6786909,51.00513797,42.52137303,278.9691693,1.497787172,invalid,1,0,13RPN00011,1,11,
35.7774646,-78.6786743,10325,35.7774667,-78.6786909,51.00513797,42.52137303,278.9691693,1.497787172,invalid,1,0,13RPN00011,1,11,
35.7774646,-78.6786743,10326,35.7774667,-78.6786909,51.00513797,42.52137303,278.9691693,1.497787172,invalid,1,0,13RPN00011,1,11,
35.7774646,-78.6786743,10327,35.7774667,-78.6786909,51.00513797,42.52137303,278.9691693,1.497787172,invalid,1,0,13RPN00011,1,11,
35.7774646,-78.6786743,10328,35.7774667,-78.6786909,51.00513797,42.52137303,278.9691693,1.497787172,invalid,1,0,13RPN00011,1,11,
35.7774646,-78.6786743,10329,35.7774667,-78.6786909,51.00513797,42.52137303,278.9691693,1.497787172,invalid,1,0,13RPN00011,1,11,
35.7774646,-78.6786744,10330,35.777459,-78.6786894,91.48594114,42.5728081,245.4337832,1.497774047,invalid,1,0,13RPN00012,1,12,
35.7774646,-78.6786744,10331,35.777459,-78.6786894,91.48594114,42.5728081,245.4337832,1.497774047,invalid,1,0,13RPN00012,1,12,
35.7774646,-78.6786744,10332,35.777459,-78.6786894,91.48594114,42.5728081,245.4337832,1.497774047,invalid,1,0,13RPN00012,1,12,
35.7774646,-78.6786744,10333,35.777459,-78.6786894,91.48594114,42.5728081,245.4337832,1.497774047,invalid,1,0,13RPN00012,1,12,
35.7774646,-78.6786744,10334,35.777459,-78.6786894,91.48594114,42.5728081,245.4337832,1.497774047,invalid,1,0,13RPN00012,1,12,
35.7774744,-78.6786764,10335,35.7774638,-78.6786713,67.97610217,47.43451448,158.6773348,1.265277683,invalid,1,0,13RPN00013,1,13,
35.7774744,-78.6786764,10336,35.7774638,-78.6786713,67.97610217,47.43451448,158.6773348,1.265277683,invalid,1,0,13RPN00013,1,13,
35.7774744,-78.6786764,10337,35.7774638,-78.6786713,67.97610217,47.43451448,158.6773348,1.265277683,invalid,1,0,13RPN00013,1,13,
35.7774744,-78.6786764,10338,35.7774638,-78.6786713,67.97610217,47.43451448,158.6773348,1.265277683,invalid,1,0,13RPN00013,1,13,
35.7774744,-78.6786764,10339,35.7774638,-78.6786713,67.97610217,47.43451448,158.6773348,1.265277683,invalid,1,0,13RPN00013,1,13,
35.7774744,-78.6786764,10340,35.7774638,-78.6786713,67.97610217,47.43451448,158.6773348,1.265277683,invalid,1,0,13RPN00013,1,13,
35.7774723,-78.6786798,10341,35.7774786,-78.6786702,85.59997782,46.54763553,51.03083592,1.1138906,invalid,1,0,13RPN00014,1,14,
35.7774723,-78.6786798,10342,35.7774786,-78.6786702,85.59997782,46.54763553,51.03083592,1.1138906,invalid,1,0,13RPN00014,1,14,
35.7774723,-78.6786798,10343,35.7774786,-78.6786702,85.59997782,46.54763553,51.03083592,1.1138906,invalid,1,0,13RPN00014,1,14,
35.7774723,-78.6786798,10344,35.7774786,-78.6786702,85.59997782,46.54763553,51.03083592,1.1138906,invalid,1,0,13RPN00014,1,14,
35.7774723,-78.6786798,10345,35.7774786,-78.6786702,85.59997782,46.54763553,51.03083592,1.1138906,invalid,1,0,13RPN00014,1,14,
35.7774723,-78.6786798,10346,35.7774786,-78.6786702,85.59997782,46.54763553,51.03083592,1.1138906,invalid,1,0,13RPN00014,1,14,
35.7774723,-78.6786798,10347,35.7774786,-78.6786702,85.59997782,46.54763553,51.03083592,1.1138906,invalid,1,0,13RPN00014,1,14,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
